,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,0,0,0,0,0,0,0,8500,11000,-1,
1,2,0,1,0,0,0,2107,2067,624,101,-1,
2,3,0,1,1,0,0,2107,2067,624,101,-1,
3,4,0,1,1,1,0,2107,2067,624,101,-1,
4,5,0,1,1,1,1,2107,2067,379,101,95,SENT
5,5,0,1,1,1,2,2536,2067,195,101,96,TO
6,2,0,2,0,0,0,2107,2609,632,101,-1,
7,3,0,2,1,0,0,2107,2609,632,101,-1,
8,4,0,2,1,1,0,2107,2609,632,101,-1,
9,5,0,2,1,1,1,2107,2609,389,101,93,SOLD
10,5,0,2,1,1,2,2544,2609,195,101,93,TO
11,2,0,3,0,0,0,2107,3151,751,101,-1,
12,3,0,3,1,0,0,2107,3151,751,101,-1,
13,4,0,3,1,1,0,2107,3151,751,101,-1,
14,5,0,3,1,1,1,2107,3151,751,101,96,SHIPPING
15,2,0,4,0,0,0,2107,3692,1313,551,-1,
16,3,0,4,1,0,0,2107,3692,1313,551,-1,
17,4,0,4,1,1,0,2107,3692,1313,101,-1,
18,5,0,4,1,1,1,2107,3692,882,101,96,STATEMENT
19,5,0,4,1,1,2,3045,3694,375,97,96,DATE
20,4,0,4,1,2,0,2112,3917,740,101,-1,
21,5,0,4,1,2,1,2112,3917,740,101,96,RECEIVED
22,4,0,4,1,3,0,2108,4142,644,101,-1,
23,5,0,4,1,3,1,2108,4142,644,101,96,INVOICE
24,2,0,5,0,0,0,3502,2065,1554,442,-1,
25,3,0,5,1,0,0,3502,2065,1554,442,-1,
26,4,0,5,1,1,0,3502,2065,1192,103,-1,
27,5,0,5,1,1,1,3502,2065,1192,103,91,Valentine-Baldwin
28,4,0,5,1,2,0,3509,2224,1172,128,-1,
29,5,0,5,1,2,1,3509,2226,405,101,84,02995
30,5,0,5,1,2,2,3982,2226,359,126,96,Curry
31,5,0,5,1,2,3,4398,2224,283,103,96,Club
32,4,0,5,1,3,0,3503,2382,1553,125,-1,
33,5,0,5,1,3,1,3503,2382,835,125,90,"Johnchester,"
34,5,0,5,1,3,2,4407,2384,185,101,94,GA
35,5,0,5,1,3,3,4652,2384,404,101,84,38327
36,2,0,6,0,0,0,3502,2607,2100,442,-1,
37,3,0,6,1,0,0,3502,2607,2100,442,-1,
38,4,0,6,1,1,0,3502,2607,1816,125,-1,
39,5,0,6,1,1,1,3502,2607,664,125,95,"Anderson,"
40,5,0,6,1,1,2,4234,2607,373,103,95,Smith
41,5,0,6,1,1,3,4673,2607,229,103,96,and
42,5,0,6,1,1,4,4975,2607,343,103,96,Salas
43,4,0,6,1,2,0,3508,2765,2094,103,-1,
44,5,0,6,1,2,1,3508,2767,322,101,96,8849
45,5,0,6,1,2,2,3898,2765,593,103,96,Gonzalez
46,5,0,6,1,2,3,4550,2769,361,99,96,Trace
47,5,0,6,1,2,4,4975,2767,329,101,95,Suite
48,5,0,6,1,2,5,5366,2767,236,101,95,805
49,4,0,6,1,3,0,3513,2924,1785,125,-1,
50,5,0,6,1,3,1,3513,2924,1066,125,92,"Mckenziemouth,"
51,5,0,6,1,3,2,4654,2926,175,101,95,NC
52,5,0,6,1,3,3,4892,2926,406,101,95,09412
53,2,0,7,0,0,0,3512,3151,938,417,-1,
54,3,0,7,1,0,0,3512,3151,938,417,-1,
55,4,0,7,1,1,0,3513,3151,737,101,-1,
56,5,0,7,1,1,1,3513,3152,438,100,96,Dennis
57,5,0,7,1,1,2,4021,3151,229,101,96,PLC
58,4,0,7,1,2,0,3512,3309,668,101,-1,
59,5,0,7,1,2,1,3512,3309,359,101,96,USNS
60,5,0,7,1,2,2,3946,3310,234,98,95,Kim
61,4,0,7,1,3,0,3513,3467,937,101,-1,
62,5,0,7,1,3,1,3513,3467,241,101,96,FPO
63,5,0,7,1,3,2,3810,3469,166,97,96,AE
64,5,0,7,1,3,3,4042,3467,408,101,95,69384
65,2,0,8,0,0,0,3509,3690,781,553,-1,
66,3,0,8,1,0,0,3509,3690,781,553,-1,
67,4,0,8,1,1,0,3518,3690,771,121,-1,
68,5,0,8,1,1,1,3518,3690,771,121,95,12/01/1973
69,4,0,8,1,2,0,3509,3915,781,121,-1,
70,5,0,8,1,2,1,3509,3915,781,121,90,07/23/1972
71,4,0,8,1,3,0,3509,4142,745,101,-1,
72,5,0,8,1,3,1,3509,4142,745,101,95,670094950
