,text,bbox,word_type
0,"
","BBox(x=[553, 553], y=[534, 584])",WordType.LINEBREAK
1,SENT,"BBox(x=[553, 743], y=[534, 584])",WordType.TEXT
2,TO,"BBox(x=[767, 865], y=[534, 584])",WordType.TEXT
3,"
","BBox(x=[553, 553], y=[805, 855])",WordType.LINEBREAK
4,SOLD,"BBox(x=[553, 748], y=[805, 855])",WordType.TEXT
5,TO,"BBox(x=[771, 869], y=[805, 855])",WordType.TEXT
6,"
","BBox(x=[553, 553], y=[1076, 1126])",WordType.LINEBREAK
7,SHIPPING,"BBox(x=[553, 929], y=[1076, 1126])",WordType.TEXT
8,"
","BBox(x=[553, 553], y=[1346, 1621])",WordType.LINEBREAK
9,STATEMENT,"BBox(x=[553, 994], y=[1346, 1396])",WordType.TEXT
10,DATE,"BBox(x=[1022, 1022], y=[1347, 1395])",WordType.TEXT
11,"
","BBox(x=[1022, 1022], y=[1347, 1395])",WordType.LINEBREAK
12,RECEIVED,"BBox(x=[556, 556], y=[1459, 1509])",WordType.TEXT
13,"
","BBox(x=[556, 556], y=[1459, 1509])",WordType.LINEBREAK
14,INVOICE,"BBox(x=[554, 876], y=[1571, 1621])",WordType.TEXT
15,"
","BBox(x=[1254, 1254], y=[534, 753])",WordType.LINEBREAK
16,Irwin-Grant,"BBox(x=[1254, 1254], y=[534, 584])",WordType.TEXT
17,"
","BBox(x=[1254, 1254], y=[534, 584])",WordType.LINEBREAK
18,77553,"BBox(x=[1255, 1456], y=[613, 663])",WordType.TEXT
19,Marissa,"BBox(x=[1493, 1733], y=[613, 663])",WordType.TEXT
20,Extensions,"BBox(x=[1772, 2123], y=[613, 663])",WordType.TEXT
21,Suite,"BBox(x=[2154, 2318], y=[613, 663])",WordType.TEXT
22,313,"BBox(x=[2350, 2350], y=[613, 663])",WordType.TEXT
23,"
","BBox(x=[2350, 2350], y=[613, 663])",WordType.LINEBREAK
24,"Laurenville,","BBox(x=[1256, 1631], y=[690, 753])",WordType.TEXT
25,MA,"BBox(x=[1668, 1763], y=[693, 741])",WordType.TEXT
26,86683,"BBox(x=[1791, 1994], y=[691, 742])",WordType.TEXT
27,"
","BBox(x=[1254, 1254], y=[803, 1025])",WordType.LINEBREAK
28,"Smith,","BBox(x=[1254, 1465], y=[803, 866])",WordType.TEXT
29,Perez,"BBox(x=[1501, 1675], y=[806, 855])",WordType.TEXT
30,and,"BBox(x=[1707, 1822], y=[803, 855])",WordType.TEXT
31,Williamson,"BBox(x=[1857, 1857], y=[803, 855])",WordType.TEXT
32,"
","BBox(x=[1857, 1857], y=[803, 855])",WordType.LINEBREAK
33,352,"BBox(x=[1255, 1372], y=[884, 934])",WordType.TEXT
34,Smith,"BBox(x=[1408, 1595], y=[882, 934])",WordType.TEXT
35,Courts,"BBox(x=[1629, 1840], y=[884, 934])",WordType.TEXT
36,Apt.,"BBox(x=[1867, 1996], y=[885, 946])",WordType.TEXT
37,713,"BBox(x=[2034, 2034], y=[884, 934])",WordType.TEXT
38,"
","BBox(x=[2034, 2034], y=[884, 934])",WordType.LINEBREAK
39,Port,"BBox(x=[1256, 1384], y=[964, 1013])",WordType.TEXT
40,"Matthewport,","BBox(x=[1414, 1848], y=[961, 1025])",WordType.TEXT
41,RI,"BBox(x=[1885, 1949], y=[964, 1012])",WordType.TEXT
42,97093,"BBox(x=[1983, 2185], y=[963, 1013])",WordType.TEXT
43,"
","BBox(x=[1250, 1250], y=[1077, 1297])",WordType.LINEBREAK
44,Tran,"BBox(x=[1250, 1395], y=[1077, 1126])",WordType.TEXT
45,Inc,"BBox(x=[1429, 1429], y=[1077, 1126])",WordType.TEXT
46,"
","BBox(x=[1429, 1429], y=[1077, 1126])",WordType.LINEBREAK
47,3607,"BBox(x=[1255, 1415], y=[1155, 1205])",WordType.TEXT
48,Jessica,"BBox(x=[1446, 1672], y=[1155, 1205])",WordType.TEXT
49,Curve,"BBox(x=[1708, 1708], y=[1155, 1205])",WordType.TEXT
50,"
","BBox(x=[1708, 1708], y=[1155, 1205])",WordType.LINEBREAK
51,North,"BBox(x=[1256, 1430], y=[1232, 1284])",WordType.TEXT
52,"Luisberg,","BBox(x=[1468, 1764], y=[1232, 1297])",WordType.TEXT
53,VA,"BBox(x=[1796, 1886], y=[1235, 1283])",WordType.TEXT
54,65216,"BBox(x=[1916, 2121], y=[1234, 1284])",WordType.TEXT
55,"
","BBox(x=[1254, 1254], y=[1344, 1621])",WordType.LINEBREAK
56,09/19/1975,"BBox(x=[1254, 1254], y=[1344, 1405])",WordType.TEXT
57,"
","BBox(x=[1254, 1254], y=[1344, 1405])",WordType.LINEBREAK
58,02/28/2015,"BBox(x=[1254, 1254], y=[1457, 1518])",WordType.TEXT
59,"
","BBox(x=[1254, 1254], y=[1457, 1518])",WordType.LINEBREAK
60,670094950,"BBox(x=[1254, 1627], y=[1571, 1621])",WordType.TEXT
