,text,bbox,word_type
0,"
","BBox(x=[2107, 2107], y=[2067, 2168])",WordType.LINEBREAK
1,SENT,"BBox(x=[2107, 2486], y=[2067, 2168])",WordType.TEXT
2,TO,"BBox(x=[2536, 2731], y=[2067, 2168])",WordType.TEXT
3,"
","BBox(x=[2107, 2107], y=[2609, 2710])",WordType.LINEBREAK
4,SOLD,"BBox(x=[2107, 2496], y=[2609, 2710])",WordType.TEXT
5,TO,"BBox(x=[2544, 2739], y=[2609, 2710])",WordType.TEXT
6,"
","BBox(x=[2107, 2107], y=[3151, 3252])",WordType.LINEBREAK
7,SHIPPING,"BBox(x=[2107, 2858], y=[3151, 3252])",WordType.TEXT
8,"
","BBox(x=[2107, 2107], y=[3692, 4243])",WordType.LINEBREAK
9,STATEMENT,"BBox(x=[2107, 2989], y=[3692, 3793])",WordType.TEXT
10,DATE,"BBox(x=[3045, 3420], y=[3694, 3791])",WordType.TEXT
11,"
","BBox(x=[3045, 3045], y=[3694, 3791])",WordType.LINEBREAK
12,RECEIVED,"BBox(x=[2112, 2852], y=[3917, 4018])",WordType.TEXT
13,"
","BBox(x=[2112, 2112], y=[3917, 4018])",WordType.LINEBREAK
14,INVOICE,"BBox(x=[2108, 2752], y=[4142, 4243])",WordType.TEXT
15,"
","BBox(x=[3506, 3506], y=[2065, 2507])",WordType.LINEBREAK
16,"Ray,","BBox(x=[3513, 3788], y=[2069, 2193])",WordType.TEXT
17,Lopez,"BBox(x=[3863, 4232], y=[2069, 2193])",WordType.TEXT
18,and,"BBox(x=[4298, 4527], y=[2065, 2168])",WordType.TEXT
19,Maldonado,"BBox(x=[4604, 5306], y=[2065, 2168])",WordType.TEXT
20,"
","BBox(x=[4604, 4604], y=[2065, 2168])",WordType.LINEBREAK
21,38337,"BBox(x=[3511, 3915], y=[2226, 2327])",WordType.TEXT
22,Heather,"BBox(x=[3988, 4507], y=[2224, 2327])",WordType.TEXT
23,Hill,"BBox(x=[4571, 4755], y=[2224, 2325])",WordType.TEXT
24,Suite,"BBox(x=[4825, 5154], y=[2226, 2327])",WordType.TEXT
25,937,"BBox(x=[5215, 5453], y=[2226, 2327])",WordType.TEXT
26,"
","BBox(x=[5215, 5215], y=[2226, 2327])",WordType.LINEBREAK
27,West,"BBox(x=[3506, 3830], y=[2386, 2485])",WordType.TEXT
28,"Yolanda,","BBox(x=[3884, 4447], y=[2382, 2507])",WordType.TEXT
29,AZ,"BBox(x=[4510, 4683], y=[2386, 2483])",WordType.TEXT
30,68281,"BBox(x=[4750, 5151], y=[2384, 2485])",WordType.TEXT
31,"
","BBox(x=[3510, 3510], y=[2607, 3049])",WordType.LINEBREAK
32,"Brown,","BBox(x=[3513, 3959], y=[2611, 2732])",WordType.TEXT
33,White,"BBox(x=[4031, 4403], y=[2607, 2710])",WordType.TEXT
34,and,"BBox(x=[4465, 4693], y=[2607, 2710])",WordType.TEXT
35,Dyer,"BBox(x=[4771, 5076], y=[2611, 2735])",WordType.TEXT
36,"
","BBox(x=[4771, 4771], y=[2611, 2735])",WordType.LINEBREAK
37,220,"BBox(x=[3510, 3745], y=[2767, 2868])",WordType.TEXT
38,Chen,"BBox(x=[3815, 4138], y=[2765, 2868])",WordType.TEXT
39,Springs,"BBox(x=[4209, 4699], y=[2767, 2894])",WordType.TEXT
40,Suite,"BBox(x=[4767, 5095], y=[2767, 2868])",WordType.TEXT
41,296,"BBox(x=[5160, 5397], y=[2767, 2868])",WordType.TEXT
42,"
","BBox(x=[5160, 5160], y=[2767, 2868])",WordType.LINEBREAK
43,Lake,"BBox(x=[3513, 3806], y=[2924, 3027])",WordType.TEXT
44,"Saramouth,","BBox(x=[3875, 4643], y=[2924, 3049])",WordType.TEXT
45,ID,"BBox(x=[4717, 4859], y=[2928, 3025])",WordType.TEXT
46,01902,"BBox(x=[4925, 5331], y=[2926, 3027])",WordType.TEXT
47,"
","BBox(x=[3507, 3507], y=[3151, 3590])",WordType.LINEBREAK
48,Cox,"BBox(x=[3507, 3748], y=[3151, 3252])",WordType.TEXT
49,LLC,"BBox(x=[3813, 4036], y=[3151, 3252])",WordType.TEXT
50,"
","BBox(x=[3813, 3813], y=[3151, 3252])",WordType.LINEBREAK
51,758,"BBox(x=[3510, 3746], y=[3309, 3410])",WordType.TEXT
52,Kristy,"BBox(x=[3821, 4191], y=[3310, 3435])",WordType.TEXT
53,Fort,"BBox(x=[4254, 4505], y=[3311, 3410])",WordType.TEXT
54,"
","BBox(x=[4254, 4254], y=[3311, 3410])",WordType.LINEBREAK
55,South,"BBox(x=[3509, 3881], y=[3465, 3568])",WordType.TEXT
56,"Tamara,","BBox(x=[3941, 4487], y=[3469, 3590])",WordType.TEXT
57,UT,"BBox(x=[4562, 4729], y=[3469, 3568])",WordType.TEXT
58,71050,"BBox(x=[4793, 5198], y=[3467, 3568])",WordType.TEXT
59,"
","BBox(x=[3509, 3509], y=[3690, 4243])",WordType.LINEBREAK
60,04/20/1991,"BBox(x=[3509, 4285], y=[3690, 3811])",WordType.TEXT
61,"
","BBox(x=[3509, 3509], y=[3690, 3811])",WordType.LINEBREAK
62,01/07/1979,"BBox(x=[3509, 4290], y=[3915, 4036])",WordType.TEXT
63,"
","BBox(x=[3509, 3509], y=[3915, 4036])",WordType.LINEBREAK
64,670094950,"BBox(x=[3509, 4254], y=[4142, 4243])",WordType.TEXT
