,bottom,height,left,right,top,width,x,y,word_id,text
0,33,21,12.0,58.75,12,46.75,12.0,12,word_000000,Sent
1,33,21,64.21665954589844,88.71665954589844,12,24.5,64.21665954589844,12,word_000001,To
2,33,21,180.06666564941406,246.6499938964844,12,66.58332824707031,180.06666564941406,12,word_000002,"Bradley,"
3,33,21,252.28334045410156,287.8333282470703,12,35.54998779296875,252.28334045410156,12,word_000003,Wolf
4,33,21,293.4666748046875,323.183349609375,12,29.7166748046875,293.4666748046875,12,word_000004,and
5,33,21,328.816650390625,353.9833221435547,12,25.166671752929688,328.816650390625,12,word_000005,Hill
6,54,21,180.06666564941406,230.8999938964844,33,50.83332824707031,180.06666564941406,33,word_000006,16806
7,54,21,236.53334045410156,297.6000061035156,33,61.06666564941406,236.53334045410156,33,word_000007,Melanie
8,54,21,303.23333740234375,356.43333435058594,33,53.19999694824219,303.23333740234375,33,word_000008,Village
9,75,21,180.06666564941406,220.0500030517578,54,39.98333740234375,180.06666564941406,54,word_000009,West
10,75,21,225.6833343505859,290.03334045410156,54,64.35000610351562,225.6833343505859,54,word_000010,"William,"
11,75,21,295.66668701171875,313.3333435058594,54,17.666656494140625,295.66668701171875,54,word_000011,IA
12,75,21,318.9666748046875,369.8000183105469,54,50.833343505859375,318.9666748046875,54,word_000012,64957
13,104,21,12.0,60.44999694824219,83,48.44999694824219,12.0,83,word_000013,Sold
14,104,21,65.91667175292969,90.41667175292967,83,24.5,65.91667175292969,83,word_000014,To
15,104,21,180.06666564941406,223.0666656494141,83,43.0,180.06666564941406,83,word_000015,Miller
16,104,21,228.6999969482422,253.86666870117188,83,25.166671752929688,228.6999969482422,83,word_000016,Ltd
17,125,21,180.06666564941406,210.5666656494141,104,30.5,180.06666564941406,104,word_000017,868
18,125,21,216.1999969482422,269.81666564941406,104,53.616668701171875,216.1999969482422,104,word_000018,Kaylee
19,125,21,275.45001220703125,336.00001525878906,104,60.55000305175781,275.45001220703125,104,word_000019,Springs
20,146,21,180.06666564941406,217.5833282470703,125,37.51666259765625,180.06666564941406,125,word_000020,Lake
21,146,21,223.21665954589844,294.46665954589844,125,71.25,223.21665954589844,125,word_000021,"Timothy,"
22,146,21,300.1000061035156,324.51666259765625,125,24.416656494140625,300.1000061035156,125,word_000022,MS
23,146,21,330.1499938964844,380.98333740234375,125,50.833343505859375,330.1499938964844,125,word_000023,04553
24,175,21,12.0,104.23333740234376,154,92.23333740234376,12.0,154,word_000024,Shipping
25,175,21,180.06666564941406,273.75,154,93.68333435058594,180.06666564941406,154,word_000025,Long-Ewing
26,196,21,180.06666564941406,210.5666656494141,175,30.5,180.06666564941406,175,word_000026,643
27,196,21,216.1999969482422,284.0500030517578,175,67.85000610351562,216.1999969482422,175,word_000027,Manning
28,196,21,289.683349609375,327.5166778564453,175,37.83332824707031,289.683349609375,175,word_000028,Flats
29,196,21,333.1499938964844,374.43333435058594,175,41.28334045410156,333.1499938964844,175,word_000029,Suite
30,196,21,380.066650390625,410.566650390625,175,30.5,380.066650390625,175,word_000030,276
31,217,21,180.06666564941406,212.5666656494141,196,32.5,180.06666564941406,196,word_000031,Port
32,217,21,218.1999969482422,277.1499938964844,196,58.94999694824219,218.1999969482422,196,word_000032,"Rachel,"
33,217,21,282.7833251953125,304.88331604003906,196,22.09999084472656,282.7833251953125,196,word_000033,SC
34,217,21,310.51666259765625,361.3500061035156,196,50.833343505859375,310.51666259765625,196,word_000034,99183
35,246,21,12.0,119.06666564941406,225,107.06666564941406,12.0,225,word_000035,Statement
36,246,21,124.53334045410156,172.06666564941406,225,47.5333251953125,124.53334045410156,225,word_000036,Date
37,246,21,180.06666564941406,275.93333435058594,225,95.86666870117188,180.06666564941406,225,word_000037,04/17/1990
38,275,21,12.0,103.13333129882812,254,91.13333129882812,12.0,254,word_000038,Received
39,275,21,180.06666564941406,275.93333435058594,254,95.86666870117188,180.06666564941406,254,word_000039,04/20/1971
40,304,21,12.0,91.35000610351562,283,79.35000610351562,12.0,283,word_000040,Invoice
41,304,21,180.06666564941406,271.56666564941406,283,91.5,180.06666564941406,283,word_000041,670094950
