,text,bbox,word_type
0,"
","BBox(x=[553, 553], y=[534, 584])",WordType.LINEBREAK
1,SENT,"BBox(x=[553, 743], y=[534, 584])",WordType.TEXT
2,TO,"BBox(x=[767, 865], y=[534, 584])",WordType.TEXT
3,"
","BBox(x=[553, 553], y=[805, 855])",WordType.LINEBREAK
4,SOLD,"BBox(x=[553, 748], y=[805, 855])",WordType.TEXT
5,TO,"BBox(x=[771, 869], y=[805, 855])",WordType.TEXT
6,"
","BBox(x=[553, 553], y=[1076, 1126])",WordType.LINEBREAK
7,SHIPPING,"BBox(x=[553, 929], y=[1076, 1126])",WordType.TEXT
8,"
","BBox(x=[553, 553], y=[1346, 1621])",WordType.LINEBREAK
9,STATEMENT,"BBox(x=[553, 994], y=[1346, 1396])",WordType.TEXT
10,DATE,"BBox(x=[1022, 1210], y=[1347, 1395])",WordType.TEXT
11,"
","BBox(x=[1022, 1022], y=[1347, 1395])",WordType.LINEBREAK
12,RECEIVED,"BBox(x=[556, 926], y=[1459, 1509])",WordType.TEXT
13,"
","BBox(x=[556, 556], y=[1459, 1509])",WordType.LINEBREAK
14,INVOICE,"BBox(x=[554, 876], y=[1571, 1621])",WordType.TEXT
15,"
","BBox(x=[1252, 1252], y=[534, 753])",WordType.LINEBREAK
16,Weiss-Garcia,"BBox(x=[1253, 1680], y=[534, 584])",WordType.TEXT
17,"
","BBox(x=[1253, 1253], y=[534, 584])",WordType.LINEBREAK
18,4291,"BBox(x=[1252, 1412], y=[613, 663])",WordType.TEXT
19,Rhodes,"BBox(x=[1451, 1688], y=[611, 663])",WordType.TEXT
20,Freeway,"BBox(x=[1722, 1994], y=[614, 675])",WordType.TEXT
21,"
","BBox(x=[1722, 1722], y=[614, 675])",WordType.LINEBREAK
22,"Curtismouth,","BBox(x=[1254, 1680], y=[690, 753])",WordType.TEXT
23,SD,"BBox(x=[1716, 1805], y=[692, 742])",WordType.TEXT
24,41534,"BBox(x=[1835, 2041], y=[692, 742])",WordType.TEXT
25,"
","BBox(x=[1254, 1254], y=[803, 1024])",WordType.LINEBREAK
26,"Grant,","BBox(x=[1254, 1456], y=[805, 866])",WordType.TEXT
27,Aguilar,"BBox(x=[1488, 1722], y=[803, 868])",WordType.TEXT
28,and,"BBox(x=[1748, 1864], y=[803, 855])",WordType.TEXT
29,Butler,"BBox(x=[1901, 2096], y=[803, 855])",WordType.TEXT
30,"
","BBox(x=[1901, 1901], y=[803, 855])",WordType.LINEBREAK
31,776,"BBox(x=[1255, 1373], y=[884, 934])",WordType.TEXT
32,Hill,"BBox(x=[1410, 1502], y=[882, 933])",WordType.TEXT
33,Heights,"BBox(x=[1539, 1783], y=[882, 947])",WordType.TEXT
34,"
","BBox(x=[1539, 1539], y=[882, 947])",WordType.LINEBREAK
35,South,"BBox(x=[1254, 1440], y=[961, 1013])",WordType.TEXT
36,"Shannon,","BBox(x=[1474, 1783], y=[961, 1024])",WordType.TEXT
37,MI,"BBox(x=[1822, 1896], y=[964, 1012])",WordType.TEXT
38,89271,"BBox(x=[1929, 2129], y=[962, 1013])",WordType.TEXT
39,"
","BBox(x=[1255, 1255], y=[1074, 1296])",WordType.LINEBREAK
40,Michael-Wright,"BBox(x=[1256, 1751], y=[1074, 1139])",WordType.TEXT
41,"
","BBox(x=[1256, 1256], y=[1074, 1139])",WordType.LINEBREAK
42,72959,"BBox(x=[1255, 1457], y=[1155, 1205])",WordType.TEXT
43,Cynthia,"BBox(x=[1491, 1736], y=[1153, 1217])",WordType.TEXT
44,Lock,"BBox(x=[1772, 1917], y=[1153, 1205])",WordType.TEXT
45,Apt.,"BBox(x=[1942, 2071], y=[1156, 1217])",WordType.TEXT
46,561,"BBox(x=[2110, 2223], y=[1155, 1205])",WordType.TEXT
47,"
","BBox(x=[2110, 2110], y=[1155, 1205])",WordType.LINEBREAK
48,"Kathrynton,","BBox(x=[1257, 1641], y=[1232, 1296])",WordType.TEXT
49,ME,"BBox(x=[1676, 1765], y=[1235, 1283])",WordType.TEXT
50,15339,"BBox(x=[1804, 2003], y=[1234, 1284])",WordType.TEXT
51,"
","BBox(x=[1254, 1254], y=[1344, 1621])",WordType.LINEBREAK
52,02/05/2015,"BBox(x=[1254, 1645], y=[1344, 1405])",WordType.TEXT
53,"
","BBox(x=[1254, 1254], y=[1344, 1405])",WordType.LINEBREAK
54,11/22/1990,"BBox(x=[1259, 1645], y=[1457, 1518])",WordType.TEXT
55,"
","BBox(x=[1259, 1259], y=[1457, 1518])",WordType.LINEBREAK
56,670094950,"BBox(x=[1254, 1627], y=[1571, 1621])",WordType.TEXT
