,bottom,height,left,right,top,width,x,y,word_id,text
0,33,21,12.0,58.75,12,46.75,12.0,12,word_000000,Sent
1,33,21,64.21665954589844,88.71665954589844,12,24.5,64.21665954589844,12,word_000001,To
2,33,21,180.06666564941406,284.9166717529297,12,104.85000610351562,180.06666564941406,12,word_000002,Weiss-Garcia
3,54,21,180.06666564941406,220.73333740234375,33,40.66667175292969,180.06666564941406,33,word_000003,4291
4,54,21,226.36666870117188,285.18333435058594,33,58.81666564941406,226.36666870117188,33,word_000004,Rhodes
5,54,21,290.816650390625,358.09999084472656,33,67.28334045410156,290.816650390625,33,word_000005,Freeway
6,75,21,180.06666564941406,284.8833312988281,54,104.81666564941406,180.06666564941406,54,word_000006,"Curtismouth,"
7,75,21,290.51666259765625,313.78334045410156,54,23.266677856445312,290.51666259765625,54,word_000007,SD
8,75,21,319.41668701171875,370.25001525878906,54,50.83332824707031,319.41668701171875,54,word_000008,41534
9,104,21,12.0,60.44999694824219,83,48.44999694824219,12.0,83,word_000009,Sold
10,104,21,65.91667175292969,90.41667175292967,83,24.5,65.91667175292969,83,word_000010,To
11,104,21,180.06666564941406,231.1666717529297,83,51.100006103515625,180.06666564941406,83,word_000011,"Grant,"
12,104,21,236.8000030517578,293.0500030517578,83,56.25,236.8000030517578,83,word_000012,Aguilar
13,104,21,298.683349609375,328.40000915527344,83,29.71665954589844,298.683349609375,83,word_000013,and
14,104,21,334.0333251953125,382.1833190917969,83,48.149993896484375,334.0333251953125,83,word_000014,Butler
15,125,21,180.06666564941406,210.5666656494141,104,30.5,180.06666564941406,104,word_000015,776
16,125,21,216.1999969482422,241.36666870117188,104,25.166671752929688,216.1999969482422,104,word_000016,Hill
17,125,21,247.0,307.6666717529297,104,60.66667175292969,247.0,104,word_000017,Heights
18,146,21,180.06666564941406,227.28334045410156,125,47.2166748046875,180.06666564941406,125,word_000018,South
19,146,21,232.9166717529297,309.53334045410156,125,76.61666870117188,232.9166717529297,125,word_000019,"Shannon,"
20,146,21,315.16668701171875,335.3833465576172,125,20.21665954589844,315.16668701171875,125,word_000020,MI
21,146,21,341.01666259765625,391.8500061035156,125,50.833343505859375,341.01666259765625,125,word_000021,89271
22,175,21,12.0,104.23333740234376,154,92.23333740234376,12.0,154,word_000022,Shipping
23,175,21,180.06666564941406,300.6333312988281,154,120.56666564941406,180.06666564941406,154,word_000023,Michael-Wright
24,196,21,180.06666564941406,230.8999938964844,175,50.83332824707031,180.06666564941406,175,word_000024,72959
25,196,21,236.53334045410156,297.73333740234375,175,61.19999694824219,236.53334045410156,175,word_000025,Cynthia
26,196,21,303.3666687011719,339.78334045410156,175,36.41667175292969,303.3666687011719,175,word_000026,Lock
27,196,21,345.41668701171875,378.433349609375,175,33.01666259765625,345.41668701171875,175,word_000027,Apt.
28,196,21,384.066650390625,414.566650390625,175,30.5,384.066650390625,175,word_000028,561
29,217,21,180.06666564941406,275.6000061035156,196,95.53334045410156,180.06666564941406,196,word_000029,"Kathrynton,"
30,217,21,281.23333740234375,304.8333282470703,196,23.59999084472656,281.23333740234375,196,word_000030,ME
31,217,21,310.4666748046875,361.3000183105469,196,50.833343505859375,310.4666748046875,196,word_000031,15339
32,246,21,12.0,119.06666564941406,225,107.06666564941406,12.0,225,word_000032,Statement
33,246,21,124.53334045410156,172.06666564941406,225,47.5333251953125,124.53334045410156,225,word_000033,Date
34,246,21,180.06666564941406,275.93333435058594,225,95.86666870117188,180.06666564941406,225,word_000034,02/05/2015
35,275,21,12.0,103.13333129882812,254,91.13333129882812,12.0,254,word_000035,Received
36,275,21,180.06666564941406,275.93333435058594,254,95.86666870117188,180.06666564941406,254,word_000036,11/22/1990
37,304,21,12.0,91.35000610351562,283,79.35000610351562,12.0,283,word_000037,Invoice
38,304,21,180.06666564941406,271.56666564941406,283,91.5,180.06666564941406,283,word_000038,670094950
