,page_num,left,right,top,bottom,confidence,text,closest_color_word_id,closest_color_dist
4,0,565,801,542,604,96,SENT,word_000000,0.0
5,0,833,953,541,604,96,TO,word_000001,0.0
9,0,565,808,884,947,94,SOLD,word_000010,0.0
10,0,842,962,884,947,94,TO,word_000011,0.0
14,0,565,1032,1227,1290,96,SHIPPING,word_000022,0.0
18,0,565,1114,1571,1633,95,STATEMENT,word_000033,0.0
20,0,569,801,1673,1733,95,DATE,word_000034,0.0
24,0,569,1029,1812,1875,96,RECEIVED,word_000036,0.0
26,0,566,966,1953,2016,96,INVOICE,word_000038,0.0
28,0,563,860,2094,2157,96,TOTAL,word_000040,0.0
29,0,898,1077,2096,2157,96,DUE,word_000041,0.0
31,0,565,1049,2235,2298,96,SUBTOTAL,word_000043,0.0
35,0,569,883,2376,2439,96,PHONE,word_000045,0.0
37,0,569,962,2479,2540,96,NUMBER,word_000046,0.0
41,0,569,741,2620,2680,96,FAX,word_000048,0.0
43,0,564,1212,2760,2822,81,WVJEAW7ZYS,word_000050,0.0
47,0,569,1200,3001,3064,48,RIWOKNJUP9,word_000057,0.0
49,0,563,1099,3142,3205,57,JIIIY6TGS5,word_000062,0.0
53,0,565,1165,3546,3609,58,94NDFESYIM,word_000072,0.0
57,0,569,1198,3889,3968,90,FYDSKDQAQ4,word_000082,0.0
61,0,572,1189,4232,4311,72,LIMMUZEYQZ,word_000092,0.0
63,0,565,1190,4373,4452,86,QEWLMYI7FP,word_000094,0.0
67,0,566,1174,4615,4678,71,O98X55XCNG,word_000103,0.0
71,0,1282,1888,540,604,91,Pacheco-Smith,word_000002,0.0
73,0,1281,1529,642,705,94,32181,word_000003,0.0
74,0,1569,1898,641,705,94,Johnson,word_000004,0.0
75,0,1940,2216,643,705,95,Corner,word_000005,0.0
77,0,1282,1449,745,806,93,New,word_000006,0.0
78,0,1483,2022,742,820,91,"Annachester,",word_000007,0.0
79,0,2067,2184,745,805,94,MA,word_000008,0.0
80,0,2223,2473,743,806,96,59379,word_000009,0.0
84,0,1282,1860,883,947,89,Bush-Williams,word_000012,0.0
